mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Mika AALTOLA,Finland,EPP,mika.aaltola@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security policy,AFET,2024-12-15,
Lucia ANNUNZIATA,Italy,S&D,lucia.annunziata@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Francisco ASSIS,Portugal,S&D,francisco.assis@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Petras AUŠTREVIČIUS,Lithuania,Renew,petras.austreviscius@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Eastern Partnership,AFET,2024-12-15,
Dan BARNA,Romania,Renew,dan.barna@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Fredis BELERIS,Greece,EPP,fredis.beleris@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Adam BIELAN,Poland,ECR,adam.bielan@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Ioan-Rareş BOGDAN,Romania,EPP,ioanrares.bogdan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Foreign affairs,LIBE; AFET,2024-12-15,
Marc BOTENGA,Belgium,The Left,marc.botenga@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Digital taxation,AFET; ECON,2024-12-15,
Helmut BRANDSTÄTTER,Austria,Renew,helmut.brandstaetter@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Jorge BUXADÉ VILLALBA,Spain,PfE,jorge.buxadevillalba@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Petr BYSTRON,Germany,ESN,petr.bystron@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Andi CRISTEA,Romania,S&D,andi.cristea@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Özlem DEMIREL,Germany,The Left,ozlem.demirel@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security,AFET,2024-12-15,
Michał DWORCZYK,Poland,ECR,michal.dworczyk@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Dick ERIXON,Sweden,ECR,dick.erixon@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Carlo FIDANZA,Italy,ECR,carlo.fidanza@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; ECR leader,AFET,2024-12-15,
Emmanouil FRAGKOS,Greece,ECR,emmanouil.fragkos@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Michael GAHLER,Germany,EPP,michael.gahler@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security,AFET; SEDE,2024-12-15,
Alberico GAMBINO,Italy,ECR,alberico.gambino@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs - AFET Vice-Chair,AFET,2024-12-15,
Geadis GEADI,Cyprus,ECR,geadis.geadi@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Giorgos GEORGIOU,Cyprus,The Left,giorgos.georgiou@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Borja GIMÉNEZ LARRAZ,Spain,EPP,borja.gimenezlarraz@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Raphaël GLUCKSMANN,France,S&D,raphael.glucksmann@europarl.europa.eu,N/A,N/A,N/A,Foreign interference; human rights; democratic resilience; Ukraine; anti-disinformation; China relations,AFET; INTA; SEDE; EUDS,2024-12-15,
Christophe GOMART,France,EPP,christophe.gomart@europarl.europa.eu,N/A,N/A,N/A,Defense; security policy,AFET; SEDE,2024-12-15,
Małgorzata GOSIEWSKA,Poland,ECR,malgorzata.gosiewska@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,
Bart GROOTHUIS,Netherlands,Renew Europe,bart.groothuis@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; NIS2 Directive; digital infrastructure; AI; data protection,ITRE; AFET; INTA,2024-12-15,
Christophe GRUDLER,France,Renew Europe,christophe.grudler@europarl.europa.eu,N/A,N/A,N/A,Digital policy; energy; defense; space policy,ITRE; AFET,2024-12-15,coordinator
Bernard GUETTA,France,Renew Europe,bernard.guetta@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; European integration,AFET,2024-12-15,
Rima HASSAN,France,The Left,rima.hassan@europarl.europa.eu,N/A,N/A,N/A,Human rights; foreign affairs,AFET; DROI,2024-12-15,
György HÖLVÉNYI,Hungary,PfE,gyorgy.holvenyi@europarl.europa.eu,N/A,N/A,N/A,Development; foreign affairs,DEVE; AFET,2024-12-15,
Evin INCIR,Sweden,S&D,evin.incir@europarl.europa.eu,N/A,N/A,N/A,Human rights; civil liberties; gender-based violence; migration; digital rights,LIBE; AFET; EUDS,2024-12-15,
Hana JALLOUL MURO,Spain,S&D,hana.jalloul@europarl.europa.eu,N/A,N/A,N/A,International terrorism; foreign affairs; Middle East; migration,AFET; INTA; PETI; DROI,2024-12-15,vice_chair
Rasa JUKNEVIČIENĖ,Lithuania,EPP,rasa.jukneviciene@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense; civil liberties,AFET; SEDE; LIBE,2024-12-15,
Sandra KALNIETE,Latvia,EPP,sandra.kalniete@europarl.europa.eu,N/A,N/A,N/A,Russia relations; disinformation; Ukraine; sanctions; democracy shield - Former EU Commissioner,AFET; INTA; CULT; EUDS,2024-12-15,vice_chair
Fernand KARTHEISER,Luxembourg,NI,fernand.kartheiser@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; constitutional affairs,AFET; AFCO,2024-12-15,
Michał KOBOSKO,Poland,Renew Europe,michal.kobosko@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; foreign affairs,ITRE; AFET; IMCO,2024-12-15,
Ondřej KOLÁŘ,Czechia,EPP,ondrej.kolar@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; security,AFET; SEDE,2024-12-15,
Rihards KOLS,Latvia,ECR,rihards.kols@europarl.europa.eu,N/A,N/A,N/A,Industry; research; foreign affairs,ITRE; AFET,2024-12-15,
Andrey KOVATCHEV,Bulgaria,EPP,andrey.kovatchev@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Western Balkans,AFET,2024-12-15,
