mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Galato ALEXANDRAKI,Greece,ECR,galato.alexandraki@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Sergio BERLATO,Italy,ECR,sergio.berlato@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Alexander BERNHUBER,Austria,EPP,alexander.bernhuber@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Environment,AGRI; ENVI,2024-12-15,
Daniel BUDA,Romania,EPP,daniel.buda@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; Agriculture,JURI; AGRI,2024-12-15,
Nina CARBERRY,Ireland,EPP,nina.carberry@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Benoit CASSART,Belgium,Renew,benoit.cassart@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Asger CHRISTENSEN,Denmark,Renew,asger.christensen@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Barry COWEN,Ireland,Renew,barry.cowen@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Giovanni CROSETTO,Italy,ECR,giovanni.crosetto@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Marie DAUCHY,France,PfE,marie.dauchy@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Ivan DAVID,Czechia,ESN,ivan.david@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Jérémy DECERLE,France,Renew,jeremy.decerle@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Herbert DORFMANN,Italy,EPP,herbert.dorfmann@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Regional policy,AGRI; REGI,2024-12-15,
Engin EROGLU,Germany,Renew,engin.eroglu@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Luke Ming FLANAGAN,Ireland,The Left,lukeming.flanagan@europarl.europa.eu,N/A,N/A,N/A,Budget control; Agriculture,CONT; AGRI,2024-12-15,
Jens GIESEKE,Germany,EPP,jens.gieseke@europarl.europa.eu,N/A,N/A,N/A,Environment; Agriculture,ENVI; AGRI,2024-12-15,
Charles GOERENS,Luxembourg,Renew Europe,charles.goerens@europarl.europa.eu,N/A,N/A,N/A,Development policy; constitutional affairs; European political parties funding,AFCO; DEVE; AGRI,2024-12-15,coordinator; vice_chair
Cristina GUARDA,Italy,Greens/EFA,cristina.guarda@europarl.europa.eu,N/A,N/A,N/A,Environment; climate; agriculture,ENVI; AGRI,2024-12-15,
Gerald HAUSER,Austria,PfE,gerald.hauser@europarl.europa.eu,N/A,N/A,N/A,Health; agriculture,ENVI; AGRI,2024-12-15,
Martin HÄUSLING,Germany,Greens/EFA,martin.haeusling@europarl.europa.eu,N/A,N/A,N/A,Agriculture; food safety; environment,AGRI; ENVI,2024-12-15,
Esther HERRANZ GARCÍA,Spain,EPP,esther.herranzgarcia@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,
Krzysztof HETMAN,Poland,EPP,krzysztof.hetman@europarl.europa.eu,N/A,N/A,N/A,Industry; research; agriculture,ITRE; AGRI,2024-12-15,
Céline IMART,France,EPP,celine.imart@europarl.europa.eu,N/A,N/A,N/A,Agriculture; food policy,AGRI,2024-12-15,
Nora JUNCO GARCÍA,Spain,ECR,nora.juncogarcia@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,
Taner KABILOV,Bulgaria,NI,taner.kabilov@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,
Elsi KATAINEN,Finland,Renew Europe,elsi.katainen@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,
Emmanouil KEFALOGIANNIS,Greece,EPP,emmanouil.kefalogiannis@europarl.europa.eu,N/A,N/A,N/A,Agriculture; fisheries,AGRI; PECH,2024-12-15,
Jaroslav KNOT,Czechia,PfE,jaroslav.knot@europarl.europa.eu,N/A,N/A,N/A,Agriculture; environment,AGRI; ENVI,2024-12-15,
Stefan KÖHLER,Germany,EPP,stefan.koehler@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,
Camilla LAURETI,Italy,S&D,camilla.laureti@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,
