mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Rasmus ANDRESEN,Germany,Greens/EFA,rasmus.andresen@europarl.europa.eu,N/A,N/A,N/A,Budgets; Economic affairs,BUDG,2024-12-15,
Gilles BOYER,France,Renew,gilles.boyer@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Olivier CHASTEL,Belgium,Renew,olivier.chastel@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
David CORMAND,France,Greens/EFA,david.cormand@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital rights,IMCO; BUDG,2024-12-15,
Tamás DEUTSCH,Hungary,PfE,tamas.deutsch@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Jens GEIER,Germany,S&D,jens.geier@europarl.europa.eu,N/A,N/A,N/A,Budgets,BUDG,2024-12-15,
Sérgio GONÇALVES,Portugal,S&D,sergio.goncalves@europarl.europa.eu,N/A,N/A,N/A,Regional development; cohesion policy,REGI; BUDG,2024-12-15,
Enikő GYŐRI,Hungary,PfE,eniko.gyori@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15,
Roman HAIDER,Austria,PfE,roman.haider@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15,
Valérie HAYER,France,Renew Europe,valerie.hayer@europarl.europa.eu,N/A,N/A,N/A,Budget; EU funding; European affairs - Renew Europe Group President,BUDG; Conference of Presidents,2024-12-15,
Niclas HERBST,Germany,EPP,niclas.herbst@europarl.europa.eu,N/A,N/A,N/A,Budget; regional development,BUDG; REGI,2024-12-15,
Sérgio HUMBERTO,Portugal,EPP,sergio.humberto@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15,
Dariusz JOŃSKI,Poland,EPP,dariusz.jonski@europarl.europa.eu,N/A,N/A,N/A,Budget; budgetary control,BUDG; CONT,2024-12-15,
Moritz KÖRNER,Germany,Renew Europe,moritz.koerner@europarl.europa.eu,N/A,N/A,N/A,AI; digital policy; cybersecurity; data protection; civil liberties - AI Intergroup member,LIBE; BUDG,2024-12-15,
András Tivadar KULJA,Hungary,EPP,andrastivadar.kulja@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15,
