mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Mathilde ANDROUËT,France,PfE,mathilde.androuet@europarl.europa.eu,N/A,N/A,N/A,Culture; Education,CULT,2024-12-15,
François-Xavier BELLAMY,France,EPP,francoisxavier.bellamy@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Culture,LIBE; CULT,2024-12-15,
Sibylle BERG,Germany,NI,sibylle.berg@europarl.europa.eu,N/A,N/A,N/A,Culture,CULT,2024-12-15,
Veronika CIFROVÁ OSTRIHOŇOVÁ,Slovakia,Renew,veronika.cifrovaostrihonova@europarl.europa.eu,N/A,N/A,N/A,Culture; Media,CULT,2024-12-15,
Salvatore DE MEO,Italy,EPP,salvatore.demeo@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; Culture,AFCO; CULT,2024-12-15,
Laurence FARRENG,France,Renew,laurence.farreng@europarl.europa.eu,N/A,N/A,N/A,Culture; Education; Media policy,CULT,2024-12-15,
Hannes HEIDE,Austria,S&D,hannes.heide@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional development; civil liberties,CULT; REGI; LIBE,2024-12-15,
Marc JONGEN,Germany,ESN,marc.jongen@europarl.europa.eu,N/A,N/A,N/A,Culture; education,CULT,2024-12-15,
Irena JOVEVA,Slovenia,Renew Europe,irena.joveva@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; culture,LIBE; CULT,2024-12-15,
Sandra KALNIETE,Latvia,EPP,sandra.kalniete@europarl.europa.eu,N/A,N/A,N/A,Russia relations; disinformation; Ukraine; sanctions; democracy shield - Former EU Commissioner,AFET; INTA; CULT; EUDS,2024-12-15,vice_chair
Łukasz KOHUT,Poland,EPP,lukasz.kohut@europarl.europa.eu,N/A,N/A,N/A,Culture; employment,CULT; EMPL,2024-12-15,
Rada LAYKOVA,Bulgaria,ESN,rada.laykova@europarl.europa.eu,N/A,N/A,N/A,Culture; education,CULT,2024-12-15,
Jagna MARCZUŁAJTIS-WALCZAK,Poland,EPP,jagna.marczulajtis@europarl.europa.eu,N/A,N/A,N/A,Culture; sport,CULT,2024-12-15,
Vicent MARZÀ IBÁÑEZ,Spain,Greens/EFA,vicent.marza@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional languages,CULT,2024-12-15,
Liudas MAŽYLIS,Lithuania,EPP,liudas.mazylis@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; culture,AFET; CULT,2024-12-15,
Carolina MORACE,Italy,The Left,carolina.morace@europarl.europa.eu,N/A,N/A,N/A,Culture; sport; women's rights,CULT; FEMM,2024-12-15,
Dario NARDELLA,Italy,S&D,dario.nardella@europarl.europa.eu,N/A,N/A,N/A,"Urban development, culture, local governance",CULT; ITRE,2024-12-15,
Hans NEUHOFF,Germany,ESN,hans.neuhoff@europarl.europa.eu,N/A,N/A,N/A,"Cultural affairs, national-conservative policy",CULT,2024-12-15,
Fidias PANAYIOTOU,Cyprus,NI,fidias.panayiotou@europarl.europa.eu,N/A,N/A,N/A,"Digital engagement, independent policy",CULT,2024-12-15,
Nikos PAPANDREOU,Greece,S&D,nikos.papandreou@europarl.europa.eu,N/A,N/A,N/A,"Social policy, Greek affairs",EMPL; CULT,2024-12-15,
Giusi PRINCI,Italy,EPP,giusi.princi@europarl.europa.eu,N/A,N/A,N/A,"General EPP policy, education",CULT,2024-12-15,
Emma RAFOWICZ,France,S&D,emma.rafowicz@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, youth policy",CULT; LIBE,2024-12-15,
Sabrina REPP,Germany,S&D,sabrina.repp@europarl.europa.eu,N/A,N/A,N/A,"Culture, education",CULT,2024-12-15,
Nela RIEHL,Germany,Greens/EFA,nela.riehl@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, pan-European politics",CULT,2024-12-15,
Marcos ROS SEMPERE,Spain,S&D,marcos.rossempere@europarl.europa.eu,N/A,N/A,N/A,"Regional development, culture, education",REGI; CULT,2024-12-15,coordinator
Julien SANCHEZ,France,PfE,julien.sanchez@europarl.europa.eu,N/A,N/A,N/A,French national interests,CULT,2024-12-15,
Michaela ŠOJDROVÁ,Czechia,EPP,michaela.sojdrova@europarl.europa.eu,N/A,N/A,N/A,"Education, culture, youth policy, Christian democratic values",CULT; EMPL,2024-12-15,
Zoltán TARR,Hungary,EPP,zoltan.tarr@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, pro-European Hungarian opposition, media policy",CULT,2024-12-15,coordinator
Alice TEODORESCU MÅWE,Sweden,EPP,alice.teodorescu.mawe@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic values, media, culture",CULT,2024-12-15,
Eugen TOMAC,Romania,Renew Europe,eugen.tomac@europarl.europa.eu,N/A,N/A,N/A,"Pro-European reform, Romanian diaspora, Moldova relations",CULT; EMPL; PETI,2024-12-15,
