mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Rima HASSAN,France,The Left,rima.hassan@europarl.europa.eu,N/A,N/A,N/A,Human rights; foreign affairs,AFET; DROI,2024-12-15,
Hana JALLOUL MURO,Spain,S&D,hana.jalloul@europarl.europa.eu,N/A,N/A,N/A,International terrorism; foreign affairs; Middle East; migration,AFET; INTA; PETI; DROI,2024-12-15,vice_chair
Miriam LEXMANN,Slovakia,EPP,miriam.lexmann@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; human rights,AFET; DROI,2024-12-15,
Hannah NEUMANN,Germany,Greens/EFA,hannah.neumann@europarl.europa.eu,N/A,N/A,N/A,"Human rights, peace policy, security, surveillance technologies (Pegasus inquiry), Middle East policy",AFET; SEDE; LIBE; DROI,2024-12-15,coordinator
Maria NOICHL,Germany,S&D,maria.noichl@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, gender equality, human rights, animal welfare",AGRI; FEMM; ENVI; DROI,2024-12-15,
Janina OCHOJSKA,Poland,EPP,janina.ochojska@europarl.europa.eu,N/A,N/A,N/A,"Human rights, development aid, migration, civil liberties",DEVE; DROI; LIBE,2024-12-15,
Jan-Christoph OETJEN,Germany,Renew,janchristoph.oetjen@europarl.europa.eu,N/A,N/A,N/A,"Transport policy, mobility, civil liberties, human rights - EP Vice-President",TRAN; LIBE; DROI,2024-12-15,coordinator
Aodhán Ó RÍORDÁIN,Ireland,S&D,aodhan.oriordain@europarl.europa.eu,N/A,N/A,N/A,"Workers' rights, housing, civil liberties, human rights, equality, data protection, digital rights",EMPL; LIBE; DROI,2024-12-15,
Arash SAEIDI,France,The Left,arash.saeidi@europarl.europa.eu,N/A,N/A,N/A,"Human rights, legal affairs",DROI; JURI,2024-12-15,
Mounir SATOURI,France,Greens/EFA,mounir.satouri@europarl.europa.eu,N/A,N/A,N/A,"Human rights, foreign affairs",DROI,2024-12-15,chair
Jordi SOLÉ,Spain,Greens/EFA,jordi.sole@europarl.europa.eu,N/A,N/A,N/A,"Catalan rights, regional autonomy, environmental policy",AFET; DROI,2024-12-15,
Tineke STRIK,Netherlands,Greens/EFA,tineke.strik@europarl.europa.eu,N/A,N/A,N/A,"Migration, human rights, rule of law, Frontex accountability, data protection",AFET; DROI; LIBE,2024-12-15,
Marco TARQUINIO,Italy,S&D,marco.tarquinio@europarl.europa.eu,N/A,N/A,N/A,"Peace issues, foreign affairs, human rights, media",DROI; AFET,2024-12-15,
Marta TEMIDO,Portugal,S&D,marta.temido@europarl.europa.eu,N/A,N/A,N/A,"Health policy, human rights, public health systems",DROI; SANT,2024-12-15,vice_chair
