mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified
Daniel ATTARD,Malta,S&D,daniel.attard@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Manon AUBRY,France,The Left,manon.aubry@europarl.europa.eu,N/A,N/A,N/A,Economic justice; Taxation; Digital taxation,ECON,2024-12-15
Isabel BENJUMEA BENJUMEA,Spain,EPP,isabel.benjumeabenjumea@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Stefan BERGER,Germany,EPP,stefan.berger@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Crypto-assets regulation,ECON,2024-12-15
Stine BOSSE,Denmark,Renew,stine.bosse@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Marc BOTENGA,Belgium,The Left,marc.botenga@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Digital taxation,AFET; ECON,2024-12-15
Waldemar BUDA,Poland,ECR,waldemar.buda@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Tobias CREMER,Germany,S&D,tobias.cremer@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Henrik DAHL,Denmark,EPP,henrik.dahl@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Fabio DE MASI,Germany,NI,fabio.demasi@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Financial crimes; Digital finance,ECON,2024-12-15
Elio DI RUPO,Belgium,S&D,elio.dirupo@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Bas EICKHOUT,Netherlands,Greens/EFA,bas.eickhout@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate; Green finance,ENVI; ECON,2024-12-15
Marco FALCONE,Italy,EPP,marco.falcone@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Nikolas FARANTOURIS,Greece,The Left,nikolas.farantouris@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Markus FERBER,Germany,EPP,markus.ferber@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Financial services,ECON,2024-12-15
Jonás FERNÁNDEZ,Spain,S&D,jonas.fernandez@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Digital taxation,ECON,2024-12-15
Thomas GEISEL,Germany,NI,thomas.geisel@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Hanna GRONKIEWICZ-WALTZ,Poland,EPP,hanna.gronkiewicz-waltz@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; banking; finance,ECON,2024-12-15
Enikő GYŐRI,Hungary,PfE,eniko.gyori@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15
Roman HAIDER,Austria,PfE,roman.haider@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15
Eero HEINÄLUOMA,Finland,S&D,eero.heinaluoma@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; economic affairs,ITRE (Member); ECON,2024-12-15
Sérgio HUMBERTO,Portugal,EPP,sergio.humberto@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15
Ivars IJABS,Latvia,Renew Europe,ivars.ijabs@europarl.europa.eu,N/A,N/A,N/A,AI; digital transformation; research funding; late payments - STOA Vice-Chair; AI Intergroup member,ITRE (Member); IMCO (Substitute); ECON (Substitute),2024-12-15
Alexander JUNGBLUTH,Germany,ESN,alexander.jungbluth@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15
Sarah KNAFO,France,ESN,sarah.knafo@europarl.europa.eu,N/A,N/A,N/A,Industry; economic affairs,ITRE (Member); ECON,2024-12-15
Vilis KRIŠTOPANS,Latvia,PfE,vilis.kristopans@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; transport - Former Prime Minister of Latvia,ECON; TRAN,2024-12-15
András Tivadar KULJA,Hungary,EPP,andrastivadar.kulja@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15
Katri KULMUNI,Finland,Renew Europe,katri.kulmuni@europarl.europa.eu,N/A,N/A,N/A,Industry; research; finance,ITRE (Substitute); ECON,2024-12-15
Aurore LALUCQ,France,S&D,aurore.lalucq@europarl.europa.eu,N/A,N/A,N/A,Economic policy; sustainable finance,ECON,2024-12-15
Janusz LEWANDOWSKI,Poland,EPP,janusz.lewandowski@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - Former EU Commissioner,BUDG; ECON,2024-12-15
Giuseppe LUPO,Italy,S&D,giuseppe.lupo@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; employment,ECON; EMPL,2024-12-15
Claudiu MANDA,Romania,S&D,claudiu.manda@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; economic affairs,CONT; ECON,2024-12-15
Costas MAVRIDES,Cyprus,S&D,costas.mavrides@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15
Siegfried MUREŞAN,Romania,EPP,siegfried.muresan@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - EPP Vice-Chair,BUDG; ECON,2024-12-15
Fernando NAVARRETE ROJAS,Spain,EPP,fernando.navarreterrojas@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation",ECON; ITRE (substitute),2024-12-15
Luděk NIEDERMAYER,Czechia,EPP,ludek.niedermayer@europarl.europa.eu,N/A,N/A,N/A,"Economic/monetary affairs, anti-money laundering (lead rapporteur AMLD), tax policy, financial regulation, bank resolution",ECON (Vice-Chair); FISC; TRAN,2024-12-15
Ľudovít ÓDOR,Slovakia,Renew,ludovit.odor@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation, financial regulation, internal market, digital economy, fintech",ECON (Vice-Chair); FISC,2024-12-15
João OLIVEIRA,Portugal,The Left,joao.oliveira@europarl.europa.eu,N/A,N/A,N/A,"Economic justice, workers' rights, social policy",ECON; EMPL; ITRE (substitute); LIBE (substitute),2024-12-15
Lídia PEREIRA,Portugal,EPP,lidia.pereira@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, budgets, finance",ECON; BUDG,2024-12-15
Sirpa PIETIKÄINEN,Finland,EPP,sirpa.pietikainen@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, environment, sustainable finance",ECON; ENVI,2024-12-15
Evelyn REGNER,Austria,S&D,evelyn.regner@europarl.europa.eu,N/A,N/A,N/A,"Tax justice, corporate taxation, social policy, gender equality, workers' rights, corporate sustainability reporting",ECON; EMPL; FISC; DMER (Chair),2024-12-15
René REPASI,Germany,S&D,rene.repasi@europarl.europa.eu,N/A,N/A,N/A,"Internal market regulation, AI Act implementation, Digital Services Act, consumer protection, economic governance, digital market regulations",ECON; JURI; ITRE (substitute); FISC,2024-12-15
Alfred SANT,Malta,S&D,alfred.sant@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, finance",ECON,2024-12-15
Jussi SARAMO,Finland,The Left,jussi.saramo@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, industry",ECON; ITRE,2024-12-15
Martin SCHIRDEWAN,Germany,The Left,martin.schirdewan@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation - The Left Co-Chair",ECON,2024-12-15
Ralf SEEKATZ,Germany,EPP,ralf.seekatz@europarl.europa.eu,N/A,N/A,N/A,Economic policy,ECON,2024-12-15
Lukas SIEPER,Germany,Greens/EFA,lukas.sieper@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, finance",ECON,2024-12-15
Theodoros SKYLAKAKIS,Greece,Renew,theodoros.skylakakis@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, budgets",ECON; BUDG,2024-12-15
Irene TINAGLI,Italy,S&D,irene.tinagli@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, digital euro, banking regulation, financial services, housing policy, AI in finance",HOUS (Chair); ECON; ITRE (Substitute); ENVI (Substitute),2024-12-15
Marie TOUSSAINT,France,Greens/EFA,marie.toussaint@europarl.europa.eu,N/A,N/A,N/A,"Climate justice, ecocide recognition, environmental law, Green Deal, corporate accountability, renewable energy",ENVI (Coordinator); ECON; ITRE (Substitute); SANT (Substitute); FISC; HOUS,2024-12-15
Pasquale TRIDICO,Italy,The Left,pasquale.tridico@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, labour economics, social security, workers' rights",ECON; TRAN (Substitute),2024-12-15
Stanisław TYSZKA,Poland,ESN,stanislaw.tyszka@europarl.europa.eu,N/A,N/A,N/A,"Sovereignty, libertarian-conservative policies",AFCO; ECON,2024-12-15
Inese VAIDERE,Latvia,EPP,inese.vaidere@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital single market, data governance",IMCO (Member); ECON,2024-12-15
Anouk VAN BRUG,Netherlands,Renew Europe,anouk.vanbrug@europarl.europa.eu,N/A,N/A,N/A,"Liberal democratic policies, economic affairs",ECON; BUDG,2024-12-15
Reinier VAN LANSCHOT,Netherlands,Greens/EFA,reinier.vanlanschot@europarl.europa.eu,N/A,N/A,N/A,"Pan-European progressive policies, digital innovation, sustainability",IMCO (Substitute); ECON,2024-12-15
