mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Grégory ALLIONE,France,Renew,gregory.allione@europarl.europa.eu,N/A,N/A,N/A,Civil protection,ENVI,2024-12-15,
Vytenis Povilas ANDRIUKAITIS,Lithuania,S&D,vytenis.andriukaitis@europarl.europa.eu,N/A,N/A,N/A,Health; Food safety,ENVI,2024-12-15,
Bartosz ARŁUKOWICZ,Poland,EPP,bartosz.arlukowicz@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,
Alexander BERNHUBER,Austria,EPP,alexander.bernhuber@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Environment,AGRI; ENVI,2024-12-15,
Michael BLOSS,Germany,Greens/EFA,michael.bloss@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Climate,ITRE; ENVI,2024-12-15,
Biljana BORZAN,Croatia,S&D,biljana.borzan@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection; Health,IMCO; ENVI,2024-12-15,
Lynn BOYLAN,Ireland,The Left,lynn.boylan@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,
Delara BURKHARDT,Germany,S&D,delara.burkhardt@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,
Mélissa CAMARA,France,Greens/EFA,melissa.camara@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Pascal CANFIN,France,Renew,pascal.canfin@europarl.europa.eu,N/A,N/A,N/A,Environment; Sustainable finance; Green deal,ENVI,2024-12-15,
Mohammed CHAHIM,Netherlands,S&D,mohammed.chahim@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,
Carlo CICCIOLI,Italy,ECR,carlo.ciccioli@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Per CLAUSEN,Denmark,The Left,per.clausen@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Annalisa CORRADO,Italy,S&D,annalisa.corrado@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,
Paulo CUNHA,Portugal,EPP,paulo.cunha@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Antonio DECARO,Italy,S&D,antonio.decaro@europarl.europa.eu,N/A,N/A,N/A,Environment; Regional development,ENVI; REGI,2024-12-15,
