mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Magdalena ADAMOWICZ,Poland,EPP,magdalena.adamowicz@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Rule of law,LIBE,2024-12-15,
Abir AL-SAHLANI,Sweden,Renew,abir.al-sahlani@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,
Christine ANDERSON,Germany,ESN,christine.anderson@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Giuseppe ANTOCI,Italy,The Left,giuseppe.antoci@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Organized crime,LIBE,2024-12-15,
Konstantinos ARVANITIS,Greece,The Left,konstantinos.arvanitis@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Human rights,LIBE,2024-12-15,
Malik AZMANI,Netherlands,Renew,malik.azmani@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,
Katarina BARLEY,Germany,S&D,katarina.barley@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice; Digital rights,LIBE; IMCO,2024-12-15,
François-Xavier BELLAMY,France,EPP,francoisxavier.bellamy@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Culture,LIBE; CULT,2024-12-15,
Brando BENIFEI,Italy,S&D,brando.benifei@europarl.europa.eu,N/A,N/A,N/A,AI Act Co-Rapporteur; Digital rights; Internal market; AI governance; Data protection,IMCO; LIBE,2024-12-15,ai_act_co_rapporteur; rapporteur
Ioan-Rareş BOGDAN,Romania,EPP,ioanrares.bogdan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Foreign affairs,LIBE; AFET,2024-12-15,
Jaume ASENS LLODRÀ,Spain,Greens/EFA,jaume.asensllodra@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice,LIBE,2024-12-15,
Gordan BOSANAC,Croatia,Greens/EFA,gordan.bosanac@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Human rights,LIBE,2024-12-15,
Krzysztof BREJZA,Poland,EPP,krzysztof.brejza@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Saskia BRICMONT,Belgium,Greens/EFA,saskia.bricmont@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Trade; Digital rights,LIBE; INTA,2024-12-15,
Joachim Stanisław BRUDZIŃSKI,Poland,ECR,joachimstanislaw.brudzinski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Damien CARÊME,France,The Left,damien.careme@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,
Susanna CECCARDI,Italy,PfE,susanna.ceccardi@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Caterina CHINNICI,Italy,EPP,caterina.chinnici@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice,LIBE,2024-12-15,
Lena DÜPONT,Germany,EPP,lena.dupont@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,
Loucas FOURLAS,Cyprus,EPP,loucas.fourlas@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Child rights,LIBE,2024-12-15,
Daniel FREUND,Germany,Greens/EFA,daniel.freund@europarl.europa.eu,N/A,N/A,N/A,Budget control; Rule of law; Transparency,CONT; LIBE,2024-12-15,
Kinga GÁL,Hungary,PfE,kinga.gal@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Estrella GALÁN,Spain,The Left,estrella.galan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties - LIBE Vice-Chair; Human rights; Migration,LIBE,2024-12-15,
Jean-Paul GARRAUD,France,PfE,jeanpaul.garraud@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Alexandra GEESE,Germany,Greens/EFA,alexandra.geese@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; AI ethics; Algorithmic accountability; Digital rights,LIBE,2024-12-15,
Markéta GREGOROVÁ,Czechia,Greens/EFA,marketa.gregorova@europarl.europa.eu,N/A,N/A,N/A,Digital rights; disinformation; foreign interference; cybersecurity,ITRE (Substitute); LIBE (Substitute),2024-12-15,
Branko GRIMS,Slovenia,EPP,branko.grims@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE (Member),2024-12-15,
Andrzej HALICKI,Poland,EPP,andrzej.halicki@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; rule of law,LIBE,2024-12-15,
Hannes HEIDE,Austria,S&D,hannes.heide@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional development; civil liberties,CULT; REGI (Substitute); LIBE (Substitute),2024-12-15,
Anna-Maja HENRIKSSON,Finland,Renew Europe,anna-maja.henriksson@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; civil liberties; justice,IMCO (Member); LIBE (Substitute),2024-12-15,
Monika HOHLMEIER,Germany,EPP,monika.hohlmeier@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; counter-terrorism; security; AI in law enforcement,CONT (Chair); LIBE (Substitute),2024-12-15,cont_chair
Evin INCIR,Sweden,S&D,evin.incir@europarl.europa.eu,N/A,N/A,N/A,Human rights; civil liberties; gender-based violence; migration; digital rights,LIBE (Member); AFET (Substitute); EUDS,2024-12-15,
Paolo INSELVINI,Italy,ECR,paolo.inselvini@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE (Member),2024-12-15,
Irena JOVEVA,Slovenia,Renew Europe,irena.joveva@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; culture,LIBE (Member); CULT,2024-12-15,
Rasa JUKNEVIČIENĖ,Lithuania,EPP,rasa.jukneviciene@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense; civil liberties,AFET; SEDE; LIBE (Substitute),2024-12-15,
Erik KALIŇÁK,Slovakia,NI,erik.kalinak@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice,LIBE (Member),2024-12-15,
Marina KALJURAND,Estonia,S&D,marina.kaljurand@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; digital identity; data protection; foreign affairs - Former Foreign Minister,LIBE (Vice-Chair); IMCO (Substitute),2024-12-15,
Mariusz KAMIŃSKI,Poland,ECR,mariusz.kaminski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE (Member),2024-12-15,
Radan KANEV,Bulgaria,EPP,radan.kanev@europarl.europa.eu,N/A,N/A,N/A,Industry; research; rule of law,ITRE (Substitute); LIBE,2024-12-15,
Assita KANKO,Belgium,ECR,assita.kanko@europarl.europa.eu,N/A,N/A,N/A,Migration; security; civil liberties,LIBE (Member),2024-12-15,
Fabienne KELLER,France,Renew Europe,fabienne.keller@europarl.europa.eu,N/A,N/A,N/A,Migration; asylum policy; civil liberties,LIBE (Member),2024-12-15,
Mary KHAN,Germany,ESN,mary.khan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; legal affairs; internal market,LIBE (Member); JURI (Member); IMCO (Substitute),2024-12-15,
Kinga KOLLÁR,Hungary,EPP,kinga.kollar@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; women's rights,LIBE; FEMM,2024-12-15,
Moritz KÖRNER,Germany,Renew Europe,moritz.koerner@europarl.europa.eu,N/A,N/A,N/A,AI; digital policy; cybersecurity; data protection; civil liberties - AI Intergroup member,LIBE (Member); BUDG,2024-12-15,
Sebastian KRUIS,Netherlands,PfE,sebastian.kruis@europarl.europa.eu,N/A,N/A,N/A,Internal market; immigration,IMCO (Substitute); LIBE,2024-12-15,
Alice KUHNKE,Sweden,Greens/EFA,alice.kuhnke@europarl.europa.eu,N/A,N/A,N/A,Anti-corruption; LGBTQ+ rights; anti-racism; civil liberties - Greens/EFA Deputy Chair; Former Culture Minister,LIBE (Member); IMCO (Substitute); FEMM,2024-12-15,
András LÁSZLÓ,Hungary,PfE,andras.laszlo@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; industry,LIBE (Member); ITRE (Substitute),2024-12-15,
Afroditi LATINOPOULOU,Greece,PfE,afroditi.latinopoulou@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration,LIBE (Substitute),2024-12-15,
Murielle LAURENT,France,S&D,murielle.laurent@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice,LIBE (Member),2024-12-15,
Fabrice LEGGERI,France,PfE,fabrice.leggeri@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration; border control - Former Frontex Director,LIBE (Member),2024-12-15,
Jeroen LENAERS,Netherlands,EPP,jeroen.lenaers@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; AI in law enforcement; data protection; migration - EPP Vice-Chair; Former LIBE Chair,LIBE (Member); EMPL,2024-12-15,
Nathalie LOISEAU,France,Renew Europe,nathalie.loiseau@europarl.europa.eu,N/A,N/A,N/A,European security; defense; foreign interference; disinformation; cybersecurity - Former Minister; EU-UK Assembly Chair,AFET; SEDE (Coordinator); LIBE (Substitute); EUDS,2024-12-15,coordinator
