mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Pascal ARIMONT,Belgium,EPP,pascal.arimont@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Pernando BARRENA ARZA,Spain,The Left,pernando.barrenaarza@europarl.europa.eu,N/A,N/A,N/A,Regional affairs,REGI,2024-12-15,
Dragoş BENEA,Romania,S&D,dragos.benea@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Stefano BONACCINI,Italy,S&D,stefano.bonaccini@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Nikolina BRNJAC,Croatia,EPP,nikolina.brnjac@europarl.europa.eu,N/A,N/A,N/A,Tourism; Regional development,REGI; TRAN,2024-12-15,
Andrzej BUŁA,Poland,EPP,andrzej.bula@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Christophe CLERGEAU,France,S&D,christophe.clergeau@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Antonio DECARO,Italy,S&D,antonio.decaro@europarl.europa.eu,N/A,N/A,N/A,Environment; Regional development,ENVI; REGI,2024-12-15,
Herbert DORFMANN,Italy,EPP,herbert.dorfmann@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Regional policy,AGRI; REGI,2024-12-15,
Klara DOSTALOVA,Czechia,PfE,klara.dostalova@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Jan FARSKÝ,Czechia,EPP,jan.farsky@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Isilda GOMES,Portugal,S&D,isilda.gomes@europarl.europa.eu,N/A,N/A,N/A,Social affairs; regional development,REGI; EMPL,2024-12-15,
Sandra GÓMEZ LÓPEZ,Spain,S&D,sandra.gomezlopez@europarl.europa.eu,N/A,N/A,N/A,Social policy; urban development,EMPL; REGI,2024-12-15,
Sérgio GONÇALVES,Portugal,S&D,sergio.goncalves@europarl.europa.eu,N/A,N/A,N/A,Regional development; cohesion policy,REGI; BUDG,2024-12-15,
Mircea-Gheorghe HAVA,Romania,EPP,mirceagheorghe.hava@europarl.europa.eu,N/A,N/A,N/A,Regional development; transport,REGI; TRAN,2024-12-15,
Hannes HEIDE,Austria,S&D,hannes.heide@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional development; civil liberties,CULT; REGI; LIBE,2024-12-15,
Niclas HERBST,Germany,EPP,niclas.herbst@europarl.europa.eu,N/A,N/A,N/A,Budget; regional development,BUDG; REGI,2024-12-15,
France JAMET,France,PfE,france.jamet@europarl.europa.eu,N/A,N/A,N/A,Regional policy; fisheries; housing,PECH; REGI; HOUS,2024-12-15,
Romana JERKOVIĆ,Croatia,S&D,romana.jerkovic@europarl.europa.eu,N/A,N/A,N/A,Energy; environment; regional development,ITRE; ENVI; REGI,2024-12-15,
Taner KABILOV,Bulgaria,NI,taner.kabilov@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,
Elsi KATAINEN,Finland,Renew Europe,elsi.katainen@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,
Tomáš KUBÍN,Czechia,PfE,tomas.kubin@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,
Merja KYLLÖNEN,Finland,The Left,merja.kyllonen@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,
Camilla LAURETI,Italy,S&D,camilla.laureti@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,EPP,elzbietakatarzyna.lukacijewska@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,
Cristina MAESTRE,Spain,S&D,cristina.maestre@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,
Nora MEBAREK,France,S&D,nora.mebarek@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,
Ana MIRANDA PAZ,Spain,Greens/EFA,ana.mirandapaz@europarl.europa.eu,N/A,N/A,N/A,Fisheries; regional affairs,PECH; REGI,2024-12-15,
Ciaran MULLOOLY,Ireland,Renew Europe,ciaran.mullooly@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,
Denis NESCI,Italy,ECR,denis.nesci@europarl.europa.eu,N/A,N/A,N/A,"Regional development, Southern Italy issues",REGI; IMCO,2024-12-15,
Elena NEVADO DEL CAMPO,Spain,EPP,elena.nevadodelcampo@europarl.europa.eu,N/A,N/A,N/A,"Regional development, Extremadura region affairs",REGI,2024-12-15,
Andrey NOVAKOV,Bulgaria,EPP,andrey.novakov@europarl.europa.eu,N/A,N/A,N/A,"EU budget, regional development, cohesion policy",BUDG; REGI,2024-12-15,
Jan OLBRYCHT,Poland,EPP,jan.olbrycht@europarl.europa.eu,N/A,N/A,N/A,"EU budget, Multiannual Financial Framework (MFF rapporteur), cohesion policy, regional development",BUDG; CONT; REGI,2024-12-15,rapporteur
Younous OMARJEE,France,The Left,younous.omarjee@europarl.europa.eu,N/A,N/A,N/A,"Regional development, cohesion policy, outermost regions, EU budget - EP Vice-President",REGI; BUDG; CONT,2024-12-15,ep_vice_president
Max ORVILLE,France,Renew,max.orville@europarl.europa.eu,N/A,N/A,N/A,"Regional development, overseas territories, agriculture",REGI; AGRI,2024-12-15,
Vladimir PREBILIČ,Slovenia,Greens/EFA,vladimir.prebilic@europarl.europa.eu,N/A,N/A,N/A,"Green policy, sustainable development",REGI; ENVI,2024-12-15,
Jacek PROTAS,Poland,EPP,jacek.protas@europarl.europa.eu,N/A,N/A,N/A,"Regional policy, Polish affairs",REGI,2024-12-15,
Marcos ROS SEMPERE,Spain,S&D,marcos.rossempere@europarl.europa.eu,N/A,N/A,N/A,"Regional development, culture, education",REGI; CULT,2024-12-15,coordinator
Christian SAGARTZ,Austria,EPP,christian.sagartz@europarl.europa.eu,N/A,N/A,N/A,"Regional development, agriculture",REGI; AGRI,2024-12-15,
Maria SPYRAKI,Greece,EPP,maria.spyraki@europarl.europa.eu,N/A,N/A,N/A,"Energy storage, hydrogen technology, ecodesign, chemicals regulation, AI and digital innovation",ITRE; ENVI; REGI,2024-12-15,
Raffaele TOPO,Italy,S&D,raffaele.topo@europarl.europa.eu,N/A,N/A,N/A,"Italian socialist agenda, regional development",REGI,2024-12-15,
Flavio TOSI,Italy,EPP,flavio.tosi@europarl.europa.eu,N/A,N/A,N/A,"Center-right Italian policies, local governance",ITRE; REGI,2024-12-15,
