mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Grégory ALLIONE,France,Renew,gregory.allione@europarl.europa.eu,N/A,N/A,N/A,Civil protection,ENVI,2024-12-15,
Mathilde ANDROUËT,France,PfE,mathilde.androuet@europarl.europa.eu,N/A,N/A,N/A,Culture; Education,CULT,2024-12-15,
Manon AUBRY,France,The Left,manon.aubry@europarl.europa.eu,N/A,N/A,N/A,Economic justice; Taxation; Digital taxation,ECON,2024-12-15,
Jordan BARDELLA,France,PfE,jordan.bardella@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Nicolas BAY,France,ECR,nicolas.bay@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Christophe BAY,France,PfE,christophe.bay@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
François-Xavier BELLAMY,France,EPP,francoisxavier.bellamy@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Culture,LIBE; CULT,2024-12-15,
Gilles BOYER,France,Renew,gilles.boyer@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Marie-Luce BRASIER-CLAIN,France,PfE,marieluce.brasierclain@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Mélissa CAMARA,France,Greens/EFA,melissa.camara@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Pascal CANFIN,France,Renew,pascal.canfin@europarl.europa.eu,N/A,N/A,N/A,Environment; Sustainable finance; Green deal,ENVI,2024-12-15,
Damien CARÊME,France,The Left,damien.careme@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,
Laurent CASTILLO,France,EPP,laurent.castillo@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Leila CHAIBI,France,The Left,leila.chaibi@europarl.europa.eu,N/A,N/A,N/A,Internal market; Platform workers; Digital labor rights,IMCO; EMPL,2024-12-15,
Christophe CLERGEAU,France,S&D,christophe.clergeau@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
David CORMAND,France,Greens/EFA,david.cormand@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital rights,IMCO; BUDG,2024-12-15,
Marie DAUCHY,France,PfE,marie.dauchy@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Jérémy DECERLE,France,Renew,jeremy.decerle@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Valérie DELOGE,France,PfE,valerie.deloge@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Valérie DEVAUX,France,Renew,valerie.devaux@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Mélanie DISDIER,France,PfE,melanie.disdier@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Laurence FARRENG,France,Renew,laurence.farreng@europarl.europa.eu,N/A,N/A,N/A,Culture; Education; Media policy,CULT,2024-12-15,
Claire FITA,France,S&D,claire.fita@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Emma FOURREAU,France,The Left,emma.fourreau@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Anne-Sophie FRIGOUT,France,PfE,annesophie.frigout@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Angéline FURET,France,PfE,angeline.furet@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Jean-Paul GARRAUD,France,PfE,jeanpaul.garraud@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Jean-Marc GERMAIN,France,S&D,jeanmarc.germain@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Raphaël GLUCKSMANN,France,S&D,raphael.glucksmann@europarl.europa.eu,N/A,N/A,N/A,Foreign interference; human rights; democratic resilience; Ukraine; anti-disinformation; China relations,AFET (Member); INTA (Member); SEDE (Member); EUDS (Substitute),2024-12-15,
Christophe GOMART,France,EPP,christophe.gomart@europarl.europa.eu,N/A,N/A,N/A,Defense; security policy,AFET; SEDE,2024-12-15,
Sandro GOZI,France,Renew Europe,sandro.gozi@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; EU reform; digital single market,IMCO (Member); AFCO (Member),2024-12-15,
