mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified
Mieke ANDRIESE,Netherlands,PfE,mieke.andriese@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15
Malik AZMANI,Netherlands,Renew,malik.azmani@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15
Jeannette BALJEU,Netherlands,Renew,jeannette.baljeu@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15
Tom BERENDSEN,Netherlands,EPP,tom.berendsen@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Transport,ITRE; TRAN,2024-12-15
Rachel BLOM,Netherlands,PfE,rachel.blom@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15
Mohammed CHAHIM,Netherlands,S&D,mohammed.chahim@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15
Ton DIEPEVEEN,Netherlands,PfE,ton.diepeveen@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15
Marieke EHLERS,Netherlands,PfE,marieke.ehlers@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15
Bas EICKHOUT,Netherlands,Greens/EFA,bas.eickhout@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate; Green finance,ENVI; ECON,2024-12-15
Raquel GARCÍA HERMIDA-VAN DER WALLE,Netherlands,Renew,raquel.garciahermidavanderwalle@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15
Gerben-Jan GERBRANDY,Netherlands,Renew,gerbenjan.gerbrandy@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15
Dirk GOTINK,Netherlands,EPP,dirk.gotink@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO (Substitute),2024-12-15
Bart GROOTHUIS,Netherlands,Renew Europe,bart.groothuis@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; NIS2 Directive; digital infrastructure; AI; data protection,ITRE (Member); AFET (Substitute); INTA (Member),2024-12-15
Anja HAZEKAMP,Netherlands,The Left,anja.hazekamp@europarl.europa.eu,N/A,N/A,N/A,Animal welfare; environment; fisheries,ENVI; PECH,2024-12-15
Sebastian KRUIS,Netherlands,PfE,sebastian.kruis@europarl.europa.eu,N/A,N/A,N/A,Internal market; immigration,IMCO (Substitute); LIBE,2024-12-15
Jeroen LENAERS,Netherlands,EPP,jeroen.lenaers@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; AI in law enforcement; data protection; migration - EPP Vice-Chair; Former LIBE Chair,LIBE (Member); EMPL,2024-12-15
Marit MAIJ,Netherlands,S&D,marit.maij@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; development,AFET; DEVE,2024-12-15
Henk Jan ORMEL,Netherlands,PfE,henkjan.ormel@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, rural development, animal welfare",AGRI; ANIT,2024-12-15
Thijs REUTEN,Netherlands,S&D,thijs.reuten@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, EU enlargement, civil liberties, rule of law",AFET; LIBE (substitute),2024-12-15
Bert-Jan RUISSEN,Netherlands,ECR,bertjan.ruissen@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, fisheries, trade policy - ECR Chief Whip",AGRI; PECH (substitute); AFET (substitute),2024-12-15
Sander SMIT,Netherlands,EPP,sander.smit@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, data protection, security",LIBE (substitute),2024-12-15
Tineke STRIK,Netherlands,Greens/EFA,tineke.strik@europarl.europa.eu,N/A,N/A,N/A,"Migration, human rights, rule of law, Frontex accountability, data protection",AFET (Member); DROI (Member); LIBE (Substitute),2024-12-15
Ingeborg TER LAAK,Netherlands,EPP,ingeborg.terlaak@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic policies, social affairs",EMPL,2024-12-15
Anouk VAN BRUG,Netherlands,Renew Europe,anouk.vanbrug@europarl.europa.eu,N/A,N/A,N/A,"Liberal democratic policies, economic affairs",ECON; BUDG,2024-12-15
Brigitte VAN DEN BERG,Netherlands,Renew Europe,brigitte.vandenberg@europarl.europa.eu,N/A,N/A,N/A,"Liberal progressive policies, civil liberties",LIBE; AFET,2024-12-15
Reinier VAN LANSCHOT,Netherlands,Greens/EFA,reinier.vanlanschot@europarl.europa.eu,N/A,N/A,N/A,"Pan-European progressive policies, digital innovation, sustainability",IMCO (Substitute); ECON,2024-12-15
Jessika VAN LEEUWEN,Netherlands,EPP,jessika.vanleeuwen@europarl.europa.eu,N/A,N/A,N/A,"Agricultural interests, rural communities, farmers' rights",AGRI,2024-12-15
Kim VAN SPARRENTAK,Netherlands,Greens/EFA,kim.vansparrentak@europarl.europa.eu,N/A,N/A,N/A,"Digital rights, privacy, platform economy, AI governance, data protection, gender equality",IMCO (Member); FEMM,2024-12-15
Catarina VIEIRA,Netherlands,Greens/EFA,catarina.vieira@europarl.europa.eu,N/A,N/A,N/A,"Green progressive policies, environment, climate",ENVI; TRAN,2024-12-15
Sander WOLTERS,Netherlands,EPP,sander.wolters@europarl.europa.eu,N/A,N/A,N/A,"Environmental policy, agriculture, sustainability",ENVI; AGRI,2024-12-15
