mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Magdalena ADAMOWICZ,Poland,EPP,magdalena.adamowicz@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Rule of law,LIBE,2024-12-15,
Bartosz ARŁUKOWICZ,Poland,EPP,bartosz.arlukowicz@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,
Robert BIEDROŃ,Poland,S&D,robert.biedron@europarl.europa.eu,N/A,N/A,N/A,Women's rights; LGBTQ+ rights,FEMM,2024-12-15,
Adam BIELAN,Poland,ECR,adam.bielan@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Tobiasz BOCHEŃSKI,Poland,ECR,tobiasz.bochenski@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,
Grzegorz BRAUN,Poland,NI,grzegorz.braun@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Krzysztof BREJZA,Poland,EPP,krzysztof.brejza@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Joachim Stanisław BRUDZIŃSKI,Poland,ECR,joachimstanislaw.brudzinski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Anna BRYŁKA,Poland,PfE,anna.brylka@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Tomasz BUCZEK,Poland,PfE,tomasz.buczek@europarl.europa.eu,N/A,N/A,N/A,General affairs,N/A,2024-12-15,
Waldemar BUDA,Poland,ECR,waldemar.buda@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,
Borys BUDKA,Poland,EPP,borys.budka@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - Committee Chair,ITRE,2024-12-15,itre_chair
Andrzej BUŁA,Poland,EPP,andrzej.bula@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Michał DWORCZYK,Poland,ECR,michal.dworczyk@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Kamila GASIUK-PIHOWICZ,Poland,EPP,kamila.gasiukpihowicz@europarl.europa.eu,N/A,N/A,N/A,Internal market - IMCO Vice-Chair,IMCO,2024-12-15,
Małgorzata GOSIEWSKA,Poland,ECR,malgorzata.gosiewska@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,
Hanna GRONKIEWICZ-WALTZ,Poland,EPP,hanna.gronkiewicz-waltz@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; banking; finance,ECON,2024-12-15,
Andrzej HALICKI,Poland,EPP,andrzej.halicki@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; rule of law,LIBE,2024-12-15,
Krzysztof HETMAN,Poland,EPP,krzysztof.hetman@europarl.europa.eu,N/A,N/A,N/A,Industry; research; agriculture,ITRE (Substitute); AGRI,2024-12-15,
Patryk JAKI,Poland,ECR,patryk.jaki@europarl.europa.eu,N/A,N/A,N/A,Rule of law; migration; EU institutional reform - ECR Co-Chairman,ITRE (Member); AFCO; Conference of Presidents,2024-12-15,
Adam JARUBAS,Poland,EPP,adam.jarubas@europarl.europa.eu,N/A,N/A,N/A,Public health; digital health; green transformation - SANT Committee Chair,SANT (Chair); ITRE; ENVI,2024-12-15,sant_chair
Dariusz JOŃSKI,Poland,EPP,dariusz.jonski@europarl.europa.eu,N/A,N/A,N/A,Budget; budgetary control,BUDG; CONT,2024-12-15,
Mariusz KAMIŃSKI,Poland,ECR,mariusz.kaminski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE (Member),2024-12-15,
Michał KOBOSKO,Poland,Renew Europe,michal.kobosko@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; foreign affairs,ITRE (Member); AFET (Substitute); IMCO (Substitute),2024-12-15,
Łukasz KOHUT,Poland,EPP,lukasz.kohut@europarl.europa.eu,N/A,N/A,N/A,Culture; employment,CULT; EMPL,2024-12-15,
Ewa KOPACZ,Poland,EPP,ewa.kopacz@europarl.europa.eu,N/A,N/A,N/A,Health; EU institutional affairs - Former Prime Minister of Poland,ENVI; AFCO,2024-12-15,
Janusz LEWANDOWSKI,Poland,EPP,janusz.lewandowski@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - Former EU Commissioner,BUDG; ECON,2024-12-15,
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,EPP,elzbietakatarzyna.lukacijewska@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,
Marlena MALĄG,Poland,ECR,marlena.malag@europarl.europa.eu,N/A,N/A,N/A,Employment; internal market,EMPL; IMCO (Substitute),2024-12-15,
Jagna MARCZUŁAJTIS-WALCZAK,Poland,EPP,jagna.marczulajtis@europarl.europa.eu,N/A,N/A,N/A,Culture; sport,CULT,2024-12-15,
