mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Adrian-George AXINIA,Romania,ECR,adriangeorge.axinia@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,
Dan BARNA,Romania,Renew,dan.barna@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Dragoş BENEA,Romania,S&D,dragos.benea@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Ioan-Rareş BOGDAN,Romania,EPP,ioanrares.bogdan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Foreign affairs,LIBE; AFET,2024-12-15,
Daniel BUDA,Romania,EPP,daniel.buda@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; Agriculture,JURI; AGRI,2024-12-15,
Gheorghe CÂRCIU,Romania,S&D,gheorghe.carciu@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,
Andi CRISTEA,Romania,S&D,andi.cristea@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Vasile DÎNCU,Romania,S&D,vasile.dincu@europarl.europa.eu,N/A,N/A,N/A,Security; Defense,SEDE,2024-12-15,
Gheorghe FALCĂ,Romania,EPP,gheorghe.falca@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,
Gabriela FIREA,Romania,S&D,gabriela.firea@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,
Maria GRAPINI,Romania,S&D,maria.grapini@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; SMEs; Digital Services Act,IMCO,2024-12-15,vice_chair
Mircea-Gheorghe HAVA,Romania,EPP,mirceagheorghe.hava@europarl.europa.eu,N/A,N/A,N/A,Regional development; transport,REGI; TRAN,2024-12-15,
Diana IOVANOVICI ŞOŞOACĂ,Romania,NI,diana.iovanovici@europarl.europa.eu,N/A,N/A,N/A,Industry; women's rights,ITRE; FEMM,2024-12-15,
Luis-Vicențiu LAZARUS,Romania,NI,luisvicentiu.lazarus@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; constitutional affairs,JURI; AFCO,2024-12-15,
Claudiu MANDA,Romania,S&D,claudiu.manda@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; economic affairs,CONT; ECON,2024-12-15,
Dan-Ştefan MOTREANU,Romania,EPP,danstefan.motreanu@europarl.europa.eu,N/A,N/A,N/A,Agriculture; environment,AGRI; ENVI,2024-12-15,
Siegfried MUREŞAN,Romania,EPP,siegfried.muresan@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - EPP Vice-Chair,BUDG; ECON,2024-12-15,
Ştefan MUŞOIU,Romania,S&D,stefan.musoiu@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,
Victor NEGRESCU,Romania,S&D,victor.negrescu@europarl.europa.eu,N/A,N/A,N/A,"Digital agenda (MEP of the Year 2015), education, budgets, digitalization, innovation",BUDG; JURI; Parliament Bureau (Vice-President),2024-12-15,ep_vice_president
Dan NICA,Romania,S&D,dan.nica@europarl.europa.eu,N/A,N/A,N/A,"Industry and research, digital technology, Horizon Europe, telecommunications, IT infrastructure, European Competitiveness Fund",ITRE; ENVI,2024-12-15,coordinator
Gheorghe PIPEREA,Romania,ECR,gheorghe.piperea@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, AI Act implementation, legal affairs",IMCO; JURI,2024-12-15,
Virgil-Daniel POPESCU,Romania,EPP,virgildaniel.popescu@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, industry, digital transformation, research",ITRE,2024-12-15,
Diana ȘOȘOACĂ,Romania,NI,diana.sosoaca@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, conservative values, civil liberties",LIBE,2024-12-15,
Nicolae ȘTEFĂNUȚĂ,Romania,Greens/EFA,nicolae.stefanuta@europarl.europa.eu,N/A,N/A,N/A,"Ukraine support, sustainability, democracy, environmental policy",ENVI; BUDG,2024-12-15,
Ramona STRUGARIU,Romania,Renew Europe,ramona.strugariu@europarl.europa.eu,N/A,N/A,N/A,"Anti-corruption, rule of law, digital rights, civil liberties, AI governance",LIBE; AFET,2024-12-15,
Claudiu-Richard TÂRZIU,Romania,ECR,claudiu.tarziu@europarl.europa.eu,N/A,N/A,N/A,"Conservative nationalism, family values, sovereignty",AFET,2024-12-15,
Georgiana TEODORESCU,Romania,ECR,georgiana.teodorescu@europarl.europa.eu,N/A,N/A,N/A,"Conservative values, Romanian sovereignty",LIBE; FEMM,2024-12-15,
Cristian TERHEȘ,Romania,ECR,cristian.terhes@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, sovereignty, foreign affairs, digital privacy, data protection",CONT; AFET; SEDE; EUDS,2024-12-15,vice_chair
Eugen TOMAC,Romania,Renew Europe,eugen.tomac@europarl.europa.eu,N/A,N/A,N/A,"Pro-European reform, Romanian diaspora, Moldova relations",CULT; EMPL; PETI,2024-12-15,
Mihai TUDOSE,Romania,S&D,mihai.tudose@europarl.europa.eu,N/A,N/A,N/A,"Security and defence, foreign affairs, critical infrastructure protection, cybersecurity",SEDE; AFET,2024-12-15,vice_chair
Adina-Ioana VĂLEAN,Romania,EPP,adina.valean@europarl.europa.eu,N/A,N/A,N/A,"Transport, infrastructure, digital policy, AI applications in transport",IMCO; TRAN,2024-12-15,
Vlad VASILE-VOICULESCU,Romania,Renew Europe,vlad.voiculescu@europarl.europa.eu,N/A,N/A,N/A,"Progressive reform, anti-corruption, health policy",SANT; ENVI,2024-12-15,
Loránt VINCZE,Romania,EPP,lorant.vincze@europarl.europa.eu,N/A,N/A,N/A,"Minority rights, Hungarian community interests, regional policy",REGI; CULT,2024-12-15,
