mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Borys BUDKA,Poland,EPP,borys.budka@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - Committee Chair,ITRE,2024-12-15,itre_chair
Elena DONAZZAN,Italy,ECR,elena.donazzan@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - ITRE Vice-Chair,ITRE,2024-12-15,itre_vice_chair
Giorgio GORI,Italy,S&D,giorgio.gori@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; research; energy,ITRE,2024-12-15,vice_chair
Adam JARUBAS,Poland,EPP,adam.jarubas@europarl.europa.eu,N/A,N/A,N/A,Public health; digital health; green transformation - SANT Committee Chair,SANT; ITRE; ENVI,2024-12-15,chair; sant_chair
Bernd LANGE,Germany,S&D,bernd.lange@europarl.europa.eu,N/A,N/A,N/A,Trade policy; digital trade; transatlantic relations; anti-coercion - INTA Committee Chair,INTA; ITRE,2024-12-15,chair; inta_chair
Tsvetelina PENKOVA,Bulgaria,S&D,tsvetelina.penkova@europarl.europa.eu,N/A,N/A,N/A,"Digital policy, AI Act, cybersecurity, energy, research, industry, telecommunications, data governance, consumer protection",ITRE; IMCO,2024-12-15,itre_vice_chair; vice_chair
Irene TINAGLI,Italy,S&D,irene.tinagli@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, digital euro, banking regulation, financial services, housing policy, AI in finance",HOUS; ECON; ITRE; ENVI,2024-12-15,chair
Tomas TOBÉ,Sweden,EPP,tomas.tobe@europarl.europa.eu,N/A,N/A,N/A,"Development aid, migration, asylum policy, civil liberties, digital policy",DEVE; LIBE; ITRE; EUDS,2024-12-15,chair; deve_chair
Yvan VEROUGSTRAETE,Belgium,Renew Europe,yvan.verougstraete@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic/centrist policies, industry, research",ITRE; IMCO,2024-12-15,vice_chair
Sophie WILMÈS,Belgium,Renew Europe,sophie.wilmes@europarl.europa.eu,N/A,N/A,N/A,"Human rights, democracy, rule of law, digital policy, transatlantic relations",EP Vice-President; LIBE; ITRE; EUDS,2024-12-15,ep_vice_president
