mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Galato ALEXANDRAKI,Greece,ECR,galato.alexandraki@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Adrian-George AXINIA,Romania,ECR,adriangeorge.axinia@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,
Stephen Nikola BARTULICA,Croatia,ECR,stephennlikola.bartulica@europarl.europa.eu,N/A,N/A,N/A,Family policy,FEMM,2024-12-15,
Nicolas BAY,France,ECR,nicolas.bay@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,
Sergio BERLATO,Italy,ECR,sergio.berlato@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Adam BIELAN,Poland,ECR,adam.bielan@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Tobiasz BOCHEŃSKI,Poland,ECR,tobiasz.bochenski@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,
Joachim Stanisław BRUDZIŃSKI,Poland,ECR,joachimstanislaw.brudzinski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,
Waldemar BUDA,Poland,ECR,waldemar.buda@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,
Stefano CAVEDAGNA,Italy,ECR,stefano.cavedagna@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,
Carlo CICCIOLI,Italy,ECR,carlo.ciccioli@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Alessandro CIRIANI,Italy,ECR,alessandro.ciriani@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs,AFCO,2024-12-15,
Giovanni CROSETTO,Italy,ECR,giovanni.crosetto@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,
Elena DONAZZAN,Italy,ECR,elena.donazzan@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - ITRE Vice-Chair,ITRE,2024-12-15,itre_vice_chair
Michał DWORCZYK,Poland,ECR,michal.dworczyk@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Dick ERIXON,Sweden,ECR,dick.erixon@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Carlo FIDANZA,Italy,ECR,carlo.fidanza@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; ECR leader,AFET,2024-12-15,
Pietro FIOCCHI,Italy,ECR,pietro.fiocchi@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Emmanouil FRAGKOS,Greece,ECR,emmanouil.fragkos@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Alberico GAMBINO,Italy,ECR,alberico.gambino@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs - AFET Vice-Chair,AFET,2024-12-15,
Geadis GEADI,Cyprus,ECR,geadis.geadi@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
Chiara GEMMA,Italy,ECR,chiara.gemma@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,
Małgorzata GOSIEWSKA,Poland,ECR,malgorzata.gosiewska@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,
Paolo INSELVINI,Italy,ECR,paolo.inselvini@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE,2024-12-15,
Patryk JAKI,Poland,ECR,patryk.jaki@europarl.europa.eu,N/A,N/A,N/A,Rule of law; migration; EU institutional reform - ECR Co-Chairman,ITRE; AFCO; Conference of Presidents,2024-12-15,
Nora JUNCO GARCÍA,Spain,ECR,nora.juncogarcia@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,
Mariusz KAMIŃSKI,Poland,ECR,mariusz.kaminski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE,2024-12-15,
Assita KANKO,Belgium,ECR,assita.kanko@europarl.europa.eu,N/A,N/A,N/A,Migration; security; civil liberties,LIBE,2024-12-15,
Rihards KOLS,Latvia,ECR,rihards.kols@europarl.europa.eu,N/A,N/A,N/A,Industry; research; foreign affairs,ITRE; AFET,2024-12-15,
Ondřej KRUTÍLEK,Czechia,ECR,ondrej.krutilek@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; environment,ITRE; ENVI,2024-12-15,
