mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Mika AALTOLA,Finland,EPP,mika.aaltola@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security policy,AFET,2024-12-15,
Maravillas ABADÍA JOVER,Spain,EPP,maravillas.abadiajover@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,
Magdalena ADAMOWICZ,Poland,EPP,magdalena.adamowicz@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Rule of law,LIBE,2024-12-15,
Georgios AFTIAS,Greece,EPP,georgios.aftias@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,
Peter AGIUS,Malta,EPP,peter.agius@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection,IMCO,2024-12-15,
Pablo ARIAS ECHEVERRÍA,Spain,EPP,pablo.ariasecheverria@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital single market,IMCO,2024-12-15,
Pascal ARIMONT,Belgium,EPP,pascal.arimont@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,
Bartosz ARŁUKOWICZ,Poland,EPP,bartosz.arlukowicz@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,
Wouter BEKE,Belgium,EPP,wouter.beke@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy,ITRE,2024-12-15,
Fredis BELERIS,Greece,EPP,fredis.beleris@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,
François-Xavier BELLAMY,France,EPP,francoisxavier.bellamy@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Culture,LIBE; CULT,2024-12-15,
Isabel BENJUMEA BENJUMEA,Spain,EPP,isabel.benjumeabenjumea@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,
Hildegard BENTELE,Germany,EPP,hildegard.bentele@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Digital innovation,ITRE,2024-12-15,
Tom BERENDSEN,Netherlands,EPP,tom.berendsen@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Transport,ITRE; TRAN,2024-12-15,
Stefan BERGER,Germany,EPP,stefan.berger@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Crypto-assets regulation,ECON,2024-12-15,
