mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Rasmus ANDRESEN,Germany,Greens/EFA,rasmus.andresen@europarl.europa.eu,N/A,N/A,N/A,Budgets; Economic affairs,BUDG,2024-12-15,
Michael BLOSS,Germany,Greens/EFA,michael.bloss@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Climate,ITRE; ENVI,2024-12-15,
Damian BOESELAGER,Germany,Greens/EFA,damian.boeselager@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; Digital democracy,AFCO,2024-12-15,
Jaume ASENS LLODRÀ,Spain,Greens/EFA,jaume.asensllodra@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice,LIBE,2024-12-15,
Gordan BOSANAC,Croatia,Greens/EFA,gordan.bosanac@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Human rights,LIBE,2024-12-15,
Saskia BRICMONT,Belgium,Greens/EFA,saskia.bricmont@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Trade; Digital rights,LIBE; INTA,2024-12-15,
Mélissa CAMARA,France,Greens/EFA,melissa.camara@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,
Anna CAVAZZINI,Germany,Greens/EFA,anna.cavazzini@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection - IMCO Chair; Digital services; AI governance,IMCO,2024-12-15,imco_chair
David CORMAND,France,Greens/EFA,david.cormand@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital rights,IMCO; BUDG,2024-12-15,
Bas EICKHOUT,Netherlands,Greens/EFA,bas.eickhout@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate; Green finance,ENVI; ECON,2024-12-15,
Daniel FREUND,Germany,Greens/EFA,daniel.freund@europarl.europa.eu,N/A,N/A,N/A,Budget control; Rule of law; Transparency,CONT; LIBE,2024-12-15,
Alexandra GEESE,Germany,Greens/EFA,alexandra.geese@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; AI ethics; Algorithmic accountability; Digital rights,LIBE,2024-12-15,
Markéta GREGOROVÁ,Czechia,Greens/EFA,marketa.gregorova@europarl.europa.eu,N/A,N/A,N/A,Digital rights; disinformation; foreign interference; cybersecurity,ITRE; LIBE,2024-12-15,
Cristina GUARDA,Italy,Greens/EFA,cristina.guarda@europarl.europa.eu,N/A,N/A,N/A,Environment; climate; agriculture,ENVI; AGRI,2024-12-15,
Martin HÄUSLING,Germany,Greens/EFA,martin.haeusling@europarl.europa.eu,N/A,N/A,N/A,Agriculture; food safety; environment,AGRI; ENVI,2024-12-15,
Pär HOLMGREN,Sweden,Greens/EFA,par.holmgren@europarl.europa.eu,N/A,N/A,N/A,Climate; environment; transport,ENVI; TRAN,2024-12-15,
Alice KUHNKE,Sweden,Greens/EFA,alice.kuhnke@europarl.europa.eu,N/A,N/A,N/A,Anti-corruption; LGBTQ+ rights; anti-racism; civil liberties - Greens/EFA Deputy Chair; Former Culture Minister,LIBE; IMCO; FEMM,2024-12-15,
Sergey LAGODINSKY,Germany,Greens/EFA,sergey.lagodinsky@europarl.europa.eu,N/A,N/A,N/A,Digital rights; AI liability; data protection; rule of law - JURI Coordinator (Greens); Greens/EFA Vice-Chair,JURI; ITRE; AFET,2024-12-15,coordinator
Katrin LANGENSIEPEN,Germany,Greens/EFA,katrin.langensiepen@europarl.europa.eu,N/A,N/A,N/A,Disability rights; internal market; consumer protection; employment,IMCO; EMPL,2024-12-15,
Isabella LÖVIN,Sweden,Greens/EFA,isabella.lovin@europarl.europa.eu,N/A,N/A,N/A,Industry; environment; climate,ITRE; ENVI,2024-12-15,
Ignazio Roberto MARINO,Italy,Greens/EFA,ignazioroberto.marino@europarl.europa.eu,N/A,N/A,N/A,Health; environment,ENVI; SANT,2024-12-15,
Erik MARQUARDT,Germany,Greens/EFA,erik.marquardt@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration; asylum,LIBE,2024-12-15,
Vicent MARZÀ IBÁÑEZ,Spain,Greens/EFA,vicent.marza@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional languages,CULT,2024-12-15,
Sara MATTHIEU,Belgium,Greens/EFA,sara.matthieu@europarl.europa.eu,N/A,N/A,N/A,Industry; employment,ITRE; EMPL,2024-12-15,
Tilly METZ,Luxembourg,Greens/EFA,tilly.metz@europarl.europa.eu,N/A,N/A,N/A,Transport; animal welfare,TRAN; ANIT,2024-12-15,
Ana MIRANDA PAZ,Spain,Greens/EFA,ana.mirandapaz@europarl.europa.eu,N/A,N/A,N/A,Fisheries; regional affairs,PECH; REGI,2024-12-15,
Hannah NEUMANN,Germany,Greens/EFA,hannah.neumann@europarl.europa.eu,N/A,N/A,N/A,"Human rights, peace policy, security, surveillance technologies (Pegasus inquiry), Middle East policy",AFET; SEDE; LIBE; DROI,2024-12-15,coordinator
Ville NIINISTÖ,Finland,Greens/EFA,ville.niinisto@europarl.europa.eu,N/A,N/A,N/A,"Climate policy, industrial policy, energy transition, environmental protection, security policy",ITRE; AFET; SEDE,2024-12-15,coordinator
