mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Borys BUDKA,Poland,EPP,borys.budka@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - Committee Chair,ITRE,2024-12-15,itre_chair
Daniel CASPARY,Germany,EPP,daniel.caspary@europarl.europa.eu,N/A,N/A,N/A,International trade; EPP Delegation Chair,INTA,2024-12-15,
Anna CAVAZZINI,Germany,Greens/EFA,anna.cavazzini@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection - IMCO Chair; Digital services; AI governance,IMCO,2024-12-15,imco_chair
Christian DOLESCHAL,Germany,EPP,christian.doleschal@europarl.europa.eu,N/A,N/A,N/A,Internal market - IMCO Vice-Chair; Youth affairs,IMCO,2024-12-15,
Elena DONAZZAN,Italy,ECR,elena.donazzan@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - ITRE Vice-Chair,ITRE,2024-12-15,itre_vice_chair
Christian EHLER,Germany,EPP,christian.ehler@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; STOA Chair; Horizon Europe; Digital research; AI policy,ITRE,2024-12-15,
Estrella GALÁN,Spain,The Left,estrella.galan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties - LIBE Vice-Chair; Human rights; Migration,LIBE,2024-12-15,
Alberico GAMBINO,Italy,ECR,alberico.gambino@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs - AFET Vice-Chair,AFET,2024-12-15,
Iratxe GARCÍA PÉREZ,Spain,S&D,iratxe.garciaperez@europarl.europa.eu,N/A,N/A,N/A,Women's rights; S&D Group President,FEMM,2024-12-15,
Kamila GASIUK-PIHOWICZ,Poland,EPP,kamila.gasiukpihowicz@europarl.europa.eu,N/A,N/A,N/A,Internal market - IMCO Vice-Chair,IMCO,2024-12-15,
Valérie HAYER,France,Renew Europe,valerie.hayer@europarl.europa.eu,N/A,N/A,N/A,Budget; EU funding; European affairs - Renew Europe Group President,BUDG; Conference of Presidents,2024-12-15,
Martin HOJSÍK,Slovakia,Renew Europe,martin.hojsik@europarl.europa.eu,N/A,N/A,N/A,Environment; industry; employment - EP Vice-President,EMPL; ENVI; ITRE (Substitute),2024-12-15,
Ivars IJABS,Latvia,Renew Europe,ivars.ijabs@europarl.europa.eu,N/A,N/A,N/A,AI; digital transformation; research funding; late payments - STOA Vice-Chair; AI Intergroup member,ITRE (Member); IMCO (Substitute); ECON (Substitute),2024-12-15,
Patryk JAKI,Poland,ECR,patryk.jaki@europarl.europa.eu,N/A,N/A,N/A,Rule of law; migration; EU institutional reform - ECR Co-Chairman,ITRE (Member); AFCO; Conference of Presidents,2024-12-15,
Adam JARUBAS,Poland,EPP,adam.jarubas@europarl.europa.eu,N/A,N/A,N/A,Public health; digital health; green transformation - SANT Committee Chair,SANT (Chair); ITRE; ENVI,2024-12-15,sant_chair
Alice KUHNKE,Sweden,Greens/EFA,alice.kuhnke@europarl.europa.eu,N/A,N/A,N/A,Anti-corruption; LGBTQ+ rights; anti-racism; civil liberties - Greens/EFA Deputy Chair; Former Culture Minister,LIBE (Member); IMCO (Substitute); FEMM,2024-12-15,
Ilhan KYUCHYUK,Bulgaria,Renew Europe,ilhan.kyuchyuk@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; intellectual property; digital contracts - JURI Committee Chair,JURI (Chair); AFET (Substitute),2024-12-15,juri_chair
Sergey LAGODINSKY,Germany,Greens/EFA,sergey.lagodinsky@europarl.europa.eu,N/A,N/A,N/A,Digital rights; AI liability; data protection; rule of law - JURI Coordinator (Greens); Greens/EFA Vice-Chair,JURI (Member - Coordinator); ITRE (Substitute); AFET,2024-12-15,coordinator
Bernd LANGE,Germany,S&D,bernd.lange@europarl.europa.eu,N/A,N/A,N/A,Trade policy; digital trade; transatlantic relations; anti-coercion - INTA Committee Chair,INTA (Chair); ITRE (Substitute),2024-12-15,inta_chair
Jeroen LENAERS,Netherlands,EPP,jeroen.lenaers@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; AI in law enforcement; data protection; migration - EPP Vice-Chair; Former LIBE Chair,LIBE (Member); EMPL,2024-12-15,
Nathalie LOISEAU,France,Renew Europe,nathalie.loiseau@europarl.europa.eu,N/A,N/A,N/A,European security; defense; foreign interference; disinformation; cybersecurity - Former Minister; EU-UK Assembly Chair,AFET; SEDE (Coordinator); LIBE (Substitute); EUDS,2024-12-15,coordinator
David MCALLISTER,Germany,EPP,david.mcallister@europarl.europa.eu,N/A,N/A,N/A,EU foreign policy; transatlantic relations; Ukraine; Western Balkans - AFET Committee Chair; Former PM of Lower Saxony,AFET (Chair); INTA (Substitute),2024-12-15,afet_chair
