mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Alex AGIUS SALIBA,Malta,S&D,alex.agiussaliba@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital services; Consumer protection,IMCO,2024-12-15,
Anna CAVAZZINI,Germany,Greens/EFA,anna.cavazzini@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection - IMCO Chair; Digital services; AI governance,IMCO,2024-12-15,imco_chair
Nicolás GONZÁLEZ CASARES,Spain,S&D,nicolas.gonzalezcasares@europarl.europa.eu,N/A,N/A,N/A,Renewable energy; clean energy transition; Digital Services; electricity market reform,ITRE (Member); ENVI (Member); SANT (Member); PECH (Member),2024-12-15,
Maria GRAPINI,Romania,S&D,maria.grapini@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; SMEs; Digital Services Act,IMCO (Vice-Chair),2024-12-15,
Svenja HAHN,Germany,Renew Europe,svenja.hahn@europarl.europa.eu,N/A,N/A,N/A,Digital markets; consumer protection; AI Act; Digital Services Act,IMCO (Member),2024-12-15,
Arba KOKALARI,Sweden,EPP,arba.kokalari@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; Digital Services,IMCO (Member),2024-12-15,
Philippe OLIVIER,France,PfE,philippe.olivier@europarl.europa.eu,N/A,N/A,N/A,"Transport, internal market, consumer protection, digital services",TRAN; IMCO (substitute),2024-12-15,
Aldo PATRICIELLO,Italy,PfE,aldo.patriciello@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, industry policy, digital services",IMCO (substitute); ITRE (substitute),2024-12-15,
Gheorghe PIPEREA,Romania,ECR,gheorghe.piperea@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, AI Act implementation, legal affairs",IMCO; JURI (substitute),2024-12-15,
Daniele POLATO,Italy,ECR,daniele.polato@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services",IMCO (substitute),2024-12-15,
Reinis POZŅAKS,Latvia,ECR,reinis.poznaks@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, data governance",IMCO,2024-12-15,
René REPASI,Germany,S&D,rene.repasi@europarl.europa.eu,N/A,N/A,N/A,"Internal market regulation, AI Act implementation, Digital Services Act, consumer protection, economic governance, digital market regulations",ECON; JURI; ITRE (substitute); FISC,2024-12-15,
Aura SALLA,Finland,EPP,aura.salla@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, industry",IMCO (substitute); ITRE,2024-12-15,
Christel SCHALDEMOSE,Denmark,S&D,christel.schaldemose@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, digital services, internal market, AI Act, Digital Services Act - Key rapporteur on digital legislation",IMCO,2024-12-15,dsa_rapporteur
Ernő SCHALLER-BAROSS,Hungary,PfE,erno.schallerbaross@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, legal affairs",IMCO; JURI (substitute),2024-12-15,
Joanna SCHEURING-WIELGUS,Poland,S&D,joanna.scheuringwielgus@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, women's rights",IMCO (substitute); FEMM,2024-12-15,
Andreas SCHWAB,Germany,EPP,andreas.schwab@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, Digital Markets Act rapporteur, AI Act, competition policy",IMCO,2024-12-15,dma_rapporteur
Tomislav SOKOL,Croatia,EPP,tomislav.sokol@europarl.europa.eu,N/A,N/A,N/A,"Public health, consumer protection, internal market, digital services, Balkans relations",SANT (Member); IMCO (Member); ENVI (Substitute); AFCO (Substitute),2024-12-15,
Isabella TOVAGLIERI,Italy,PfE,isabella.tovaglieri@europarl.europa.eu,N/A,N/A,N/A,"Industry, Made in Italy protection, AI Act implementation, digital services, women's rights",ITRE; INTA (Substitute); AGRI (Substitute),2024-12-15,
