mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Hildegard BENTELE,Germany,EPP,hildegard.bentele@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Digital innovation,ITRE,2024-12-15,
Christian EHLER,Germany,EPP,christian.ehler@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; STOA Chair; Horizon Europe; Digital research; AI policy,ITRE,2024-12-15,
Ivars IJABS,Latvia,Renew Europe,ivars.ijabs@europarl.europa.eu,N/A,N/A,N/A,AI; digital transformation; research funding; late payments - STOA Vice-Chair; AI Intergroup member,ITRE (Member); IMCO (Substitute); ECON (Substitute),2024-12-15,
Eva MAYDELL,Bulgaria,EPP,eva.maydell@europarl.europa.eu,N/A,N/A,N/A,Digital economy; AI regulation; innovation; blockchain,ITRE (Member); IMCO,2024-12-15,
Victor NEGRESCU,Romania,S&D,victor.negrescu@europarl.europa.eu,N/A,N/A,N/A,"Digital agenda (MEP of the Year 2015), education, budgets, digitalization, innovation",BUDG; JURI; Parliament Bureau (Vice-President),2024-12-15,ep_vice_president
Dan NICA,Romania,S&D,dan.nica@europarl.europa.eu,N/A,N/A,N/A,"Industry and research, digital technology, Horizon Europe, telecommunications, IT infrastructure, European Competitiveness Fund",ITRE (S&D Coordinator); ENVI,2024-12-15,
Maria SPYRAKI,Greece,EPP,maria.spyraki@europarl.europa.eu,N/A,N/A,N/A,"Energy storage, hydrogen technology, ecodesign, chemicals regulation, AI and digital innovation",ITRE (Member); ENVI (Member); REGI (Substitute),2024-12-15,
Dario TAMBURRANO,Italy,The Left,dario.tamburrano@europarl.europa.eu,N/A,N/A,N/A,"Energy transition, transport, digital innovation, climate policy",ITRE; TRAN (Substitute),2024-12-15,
Francesco TORSELLI,Italy,ECR,francesco.torselli@europarl.europa.eu,N/A,N/A,N/A,"Conservative Italian policies, industry, digital innovation",ITRE (Substitute),2024-12-15,
Reinier VAN LANSCHOT,Netherlands,Greens/EFA,reinier.vanlanschot@europarl.europa.eu,N/A,N/A,N/A,"Pan-European progressive policies, digital innovation, sustainability",IMCO (Substitute); ECON,2024-12-15,
Johan VAN OVERTVELDT,Belgium,ECR,johan.vanovertveldt@europarl.europa.eu,N/A,N/A,N/A,"Budget policy, fiscal affairs, economic governance, research funding",BUDG (Chair); ECON,2024-12-15,budg_chair
Marion WALSMANN,Germany,EPP,marion.walsmann@europarl.europa.eu,N/A,N/A,N/A,"Intellectual property, standard-essential patents, digital policy, technology innovation, AI governance",JURI; ITRE (Substitute),2024-12-15,
Angelika WINZIG,Austria,EPP,angelika.winzig@europarl.europa.eu,N/A,N/A,N/A,"Budget, economic policy, digital investment, research funding",BUDG; ECON,2024-12-15,
